# Copyright (C) 1991-2007 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 7.2 Build 151 09/26/2007 SJ Full Version
# File: D:\v1.21\DE2_70_TOP.csv
# Generated on: Wed Nov 14 23:36:20 2007

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

From,To,Assignment Name,Value,Enabled
,oENET_CLK,Location,PIN_D27,Yes
,iCLK_28,Location,PIN_E16,Yes
,iCLK_50,Location,PIN_AD15,Yes
,iCLK_50_2,Location,PIN_D16,Yes
,iCLK_50_3,Location,PIN_R28,Yes
,iCLK_50_4,Location,PIN_R3,Yes
,iAUD_ADCDAT,Location,PIN_E19,Yes
,AUD_ADCLRCK,Location,PIN_F19,Yes
,AUD_BCLK,Location,PIN_E17,Yes
,oAUD_DACDAT,Location,PIN_F18,Yes
,AUD_DACLRCK,Location,PIN_G18,Yes
,oAUD_XCK,Location,PIN_D17,Yes
,DRAM_DQ[0],Location,PIN_AC1,Yes
,DRAM_DQ[1],Location,PIN_AC2,Yes
,DRAM_DQ[10],Location,PIN_AF2,Yes
,DRAM_DQ[11],Location,PIN_AF3,Yes
,DRAM_DQ[12],Location,PIN_AG2,Yes
,DRAM_DQ[13],Location,PIN_AG3,Yes
,DRAM_DQ[14],Location,PIN_AH1,Yes
,DRAM_DQ[15],Location,PIN_AH2,Yes
,DRAM_DQ[16],Location,PIN_U1,Yes
,DRAM_DQ[17],Location,PIN_U2,Yes
,DRAM_DQ[18],Location,PIN_U3,Yes
,DRAM_DQ[19],Location,PIN_V2,Yes
,DRAM_DQ[2],Location,PIN_AC3,Yes
,DRAM_DQ[20],Location,PIN_V3,Yes
,DRAM_DQ[21],Location,PIN_W1,Yes
,DRAM_DQ[22],Location,PIN_W2,Yes
,DRAM_DQ[23],Location,PIN_W3,Yes
,DRAM_DQ[24],Location,PIN_Y1,Yes
,DRAM_DQ[25],Location,PIN_Y2,Yes
,DRAM_DQ[26],Location,PIN_Y3,Yes
,DRAM_DQ[27],Location,PIN_AA1,Yes
,DRAM_DQ[28],Location,PIN_AA2,Yes
,DRAM_DQ[29],Location,PIN_AA3,Yes
,DRAM_DQ[3],Location,PIN_AD1,Yes
,DRAM_DQ[30],Location,PIN_AB1,Yes
,DRAM_DQ[31],Location,PIN_AB2,Yes
,DRAM_DQ[4],Location,PIN_AD2,Yes
,DRAM_DQ[5],Location,PIN_AD3,Yes
,DRAM_DQ[6],Location,PIN_AE1,Yes
,DRAM_DQ[7],Location,PIN_AE2,Yes
,DRAM_DQ[8],Location,PIN_AE3,Yes
,DRAM_DQ[9],Location,PIN_AF1,Yes
,oDRAM0_A[0],Location,PIN_AA4,Yes
,oDRAM0_A[1],Location,PIN_AA5,Yes
,oDRAM0_A[10],Location,PIN_Y8,Yes
,oDRAM0_A[11],Location,PIN_AE4,Yes
,oDRAM0_A[12],Location,PIN_AF4,Yes
,oDRAM0_A[2],Location,PIN_AA6,Yes
,oDRAM0_A[3],Location,PIN_AB5,Yes
,oDRAM0_A[4],Location,PIN_AB7,Yes
,oDRAM0_A[5],Location,PIN_AC4,Yes
,oDRAM0_A[6],Location,PIN_AC5,Yes
,oDRAM0_A[7],Location,PIN_AC6,Yes
,oDRAM0_A[8],Location,PIN_AD4,Yes
,oDRAM0_A[9],Location,PIN_AC7,Yes
,oDRAM0_BA[0],Location,PIN_AA9,Yes
,oDRAM0_BA[1],Location,PIN_AA10,Yes
,oDRAM0_CAS_N,Location,PIN_W10,Yes
,oDRAM0_CKE,Location,PIN_AA8,Yes
,oDRAM0_CLK,Location,PIN_AD6,Yes
,oDRAM0_CS_N,Location,PIN_Y10,Yes
,oDRAM0_LDQM0,Location,PIN_V9,Yes
,oDRAM0_RAS_N,Location,PIN_Y9,Yes
,oDRAM0_UDQM1,Location,PIN_AB6,Yes
,oDRAM0_WE_N,Location,PIN_W9,Yes
,oDRAM1_A[0],Location,PIN_T5,Yes
,oDRAM1_A[1],Location,PIN_T6,Yes
,oDRAM1_A[10],Location,PIN_T4,Yes
,oDRAM1_A[11],Location,PIN_Y4,Yes
,oDRAM1_A[12],Location,PIN_Y7,Yes
,oDRAM1_A[2],Location,PIN_U4,Yes
,oDRAM1_A[3],Location,PIN_U6,Yes
,oDRAM1_A[4],Location,PIN_U7,Yes
,oDRAM1_A[5],Location,PIN_V7,Yes
,oDRAM1_A[6],Location,PIN_V8,Yes
,oDRAM1_A[7],Location,PIN_W4,Yes
,oDRAM1_A[8],Location,PIN_W7,Yes
,oDRAM1_A[9],Location,PIN_W8,Yes
,oDRAM1_BA[0],Location,PIN_T7,Yes
,oDRAM1_BA[1],Location,PIN_T8,Yes
,oDRAM1_CAS_N,Location,PIN_N8,Yes
,oDRAM1_CKE,Location,PIN_L10,Yes
,oDRAM1_CLK,Location,PIN_G5,Yes
,oDRAM1_CS_N,Location,PIN_P9,Yes
,oDRAM1_LDQM0,Location,PIN_M10,Yes
,oDRAM1_RAS_N,Location,PIN_N9,Yes
,oDRAM1_UDQM1,Location,PIN_U8,Yes
,oDRAM1_WE_N,Location,PIN_M9,Yes
,oENET_CMD,Location,PIN_B27,Yes
,oENET_CS_N,Location,PIN_C28,Yes
,ENET_D[0],Location,PIN_A23,Yes
,ENET_D[1],Location,PIN_C22,Yes
,ENET_D[10],Location,PIN_B25,Yes
,ENET_D[11],Location,PIN_A25,Yes
,ENET_D[12],Location,PIN_C24,Yes
,ENET_D[13],Location,PIN_B24,Yes
,ENET_D[14],Location,PIN_A24,Yes
,ENET_D[15],Location,PIN_B23,Yes
,ENET_D[2],Location,PIN_B22,Yes
,ENET_D[3],Location,PIN_A22,Yes
,ENET_D[4],Location,PIN_B21,Yes
,ENET_D[5],Location,PIN_A21,Yes
,ENET_D[6],Location,PIN_B20,Yes
,ENET_D[7],Location,PIN_A20,Yes
,ENET_D[8],Location,PIN_B26,Yes
,ENET_D[9],Location,PIN_A26,Yes
,iENET_INT,Location,PIN_C27,Yes
,oENET_IOR_N,Location,PIN_A28,Yes
,oENET_IOW_N,Location,PIN_B28,Yes
,oENET_RESET_N,Location,PIN_B29,Yes
,iEXT_CLOCK,Location,PIN_R29,Yes
,oFLASH_A[0],Location,PIN_AF24,Yes
,oFLASH_A[1],Location,PIN_AG24,Yes
,oFLASH_A[10],Location,PIN_AH26,Yes
,oFLASH_A[11],Location,PIN_AJ26,Yes
,oFLASH_A[12],Location,PIN_AK26,Yes
,oFLASH_A[13],Location,PIN_AJ25,Yes
,oFLASH_A[14],Location,PIN_AK25,Yes
,oFLASH_A[15],Location,PIN_AH24,Yes
,oFLASH_A[16],Location,PIN_AG25,Yes
,oFLASH_A[17],Location,PIN_AF21,Yes
,oFLASH_A[18],Location,PIN_AD21,Yes
,oFLASH_A[19],Location,PIN_AK28,Yes
,oFLASH_A[2],Location,PIN_AE23,Yes
,oFLASH_A[20],Location,PIN_AJ28,Yes
,oFLASH_A[21],Location,PIN_AE20,Yes
,oFLASH_A[3],Location,PIN_AG23,Yes
,oFLASH_A[4],Location,PIN_AF23,Yes
,oFLASH_A[5],Location,PIN_AG22,Yes
,oFLASH_A[6],Location,PIN_AH22,Yes
,oFLASH_A[7],Location,PIN_AF22,Yes
,oFLASH_A[8],Location,PIN_AH27,Yes
,oFLASH_A[9],Location,PIN_AJ27,Yes
,oFLASH_BYTE_N,Location,PIN_Y29,Yes
,oFLASH_CE_N,Location,PIN_AG28,Yes
,FLASH_DQ[0],Location,PIN_AF29,Yes
,FLASH_DQ[1],Location,PIN_AE28,Yes
,FLASH_DQ[10],Location,PIN_AD29,Yes
,FLASH_DQ[11],Location,PIN_AC28,Yes
,FLASH_DQ[12],Location,PIN_AC30,Yes
,FLASH_DQ[13],Location,PIN_AB30,Yes
,FLASH_DQ[14],Location,PIN_AA30,Yes
,FLASH_DQ15_AM1,Location,PIN_AE24,Yes
,FLASH_DQ[2],Location,PIN_AE30,Yes
,FLASH_DQ[3],Location,PIN_AD30,Yes
,FLASH_DQ[4],Location,PIN_AC29,Yes
,FLASH_DQ[5],Location,PIN_AB29,Yes
,FLASH_DQ[6],Location,PIN_AA29,Yes
,FLASH_DQ[7],Location,PIN_Y28,Yes
,FLASH_DQ[8],Location,PIN_AF30,Yes
,FLASH_DQ[9],Location,PIN_AE29,Yes
,oFLASH_OE_N,Location,PIN_AG29,Yes
,oFLASH_RST_N,Location,PIN_AH28,Yes
,iFLASH_RY_N,Location,PIN_AH30,Yes
,oFLASH_WE_N,Location,PIN_AJ29,Yes
,oFLASH_WP_N,Location,PIN_AH29,Yes
,GPIO_CLKIN_N0,Location,PIN_T25,Yes
,GPIO_CLKIN_N1,Location,PIN_AH14,Yes
,GPIO_CLKIN_P0,Location,PIN_T24,Yes
,GPIO_CLKIN_P1,Location,PIN_AG15,Yes
,GPIO_CLKOUT_N0,Location,PIN_H23,Yes
,GPIO_CLKOUT_N1,Location,PIN_AF27,Yes
,GPIO_CLKOUT_P0,Location,PIN_G24,Yes
,GPIO_CLKOUT_P1,Location,PIN_AF28,Yes
,GPIO_0[0],Location,PIN_C30,Yes
,GPIO_0[1],Location,PIN_C29,Yes
,GPIO_0[10],Location,PIN_F29,Yes
,GPIO_0[11],Location,PIN_G29,Yes
,GPIO_0[12],Location,PIN_F30,Yes
,GPIO_0[13],Location,PIN_G30,Yes
,GPIO_0[14],Location,PIN_H29,Yes
,GPIO_0[15],Location,PIN_H30,Yes
,GPIO_0[16],Location,PIN_J29,Yes
,GPIO_0[17],Location,PIN_H25,Yes
,GPIO_0[18],Location,PIN_J30,Yes
,GPIO_0[19],Location,PIN_H24,Yes
,GPIO_0[2],Location,PIN_E28,Yes
,GPIO_0[20],Location,PIN_J25,Yes
,GPIO_0[21],Location,PIN_K24,Yes
,GPIO_0[22],Location,PIN_J24,Yes
,GPIO_0[23],Location,PIN_K25,Yes
,GPIO_0[24],Location,PIN_L22,Yes
,GPIO_0[25],Location,PIN_M21,Yes
,GPIO_0[26],Location,PIN_L21,Yes
,GPIO_0[27],Location,PIN_M22,Yes
,GPIO_0[28],Location,PIN_N22,Yes
,GPIO_0[29],Location,PIN_N25,Yes
,GPIO_0[3],Location,PIN_D29,Yes
,GPIO_0[30],Location,PIN_N21,Yes
,GPIO_0[31],Location,PIN_N24,Yes
,GPIO_1[0],Location,PIN_G27,Yes
,GPIO_1[1],Location,PIN_G28,Yes
,GPIO_1[2],Location,PIN_H27,Yes
,GPIO_1[3],Location,PIN_L24,Yes
,GPIO_1[4],Location,PIN_H28,Yes
,GPIO_1[5],Location,PIN_L25,Yes
,GPIO_1[6],Location,PIN_K27,Yes
,GPIO_1[7],Location,PIN_L28,Yes
,GPIO_0[4],Location,PIN_E27,Yes
,GPIO_1[8],Location,PIN_K28,Yes
,GPIO_1[9],Location,PIN_L27,Yes
,GPIO_1[10],Location,PIN_K29,Yes
,GPIO_1[11],Location,PIN_M25,Yes
,GPIO_1[12],Location,PIN_K30,Yes
,GPIO_1[13],Location,PIN_M24,Yes
,GPIO_1[14],Location,PIN_L29,Yes
,GPIO_1[15],Location,PIN_L30,Yes
,GPIO_1[16],Location,PIN_P26,Yes
,GPIO_1[17],Location,PIN_P28,Yes
,GPIO_0[5],Location,PIN_D28,Yes
,GPIO_1[18],Location,PIN_P25,Yes
,GPIO_1[19],Location,PIN_P27,Yes
,GPIO_1[20],Location,PIN_M29,Yes
,GPIO_1[21],Location,PIN_R26,Yes
,GPIO_1[22],Location,PIN_M30,Yes
,GPIO_1[23],Location,PIN_R27,Yes
,GPIO_1[24],Location,PIN_P24,Yes
,GPIO_1[25],Location,PIN_N28,Yes
,GPIO_1[26],Location,PIN_P23,Yes
,GPIO_1[27],Location,PIN_N29,Yes
,GPIO_0[6],Location,PIN_E29,Yes
,GPIO_1[28],Location,PIN_R23,Yes
,GPIO_1[29],Location,PIN_P29,Yes
,GPIO_1[30],Location,PIN_R22,Yes
,GPIO_1[31],Location,PIN_P30,Yes
,GPIO_0[7],Location,PIN_G25,Yes
,GPIO_0[8],Location,PIN_E30,Yes
,GPIO_0[9],Location,PIN_G26,Yes
,oHEX0_D[0],Location,PIN_AE8,Yes
,oHEX0_D[1],Location,PIN_AF9,Yes
,oHEX0_D[2],Location,PIN_AH9,Yes
,oHEX0_D[3],Location,PIN_AD10,Yes
,oHEX0_D[4],Location,PIN_AF10,Yes
,oHEX0_D[5],Location,PIN_AD11,Yes
,oHEX0_D[6],Location,PIN_AD12,Yes
,oHEX0_DP,Location,PIN_AF12,Yes
,oHEX1_D[0],Location,PIN_AG13,Yes
,oHEX1_D[1],Location,PIN_AE16,Yes
,oHEX1_D[2],Location,PIN_AF16,Yes
,oHEX1_D[3],Location,PIN_AG16,Yes
,oHEX1_D[4],Location,PIN_AE17,Yes
,oHEX1_D[5],Location,PIN_AF17,Yes
,oHEX1_D[6],Location,PIN_AD17,Yes
,oHEX1_DP,Location,PIN_AC17,Yes
,oHEX2_D[0],Location,PIN_AE7,Yes
,oHEX2_D[1],Location,PIN_AF7,Yes
,oHEX2_D[2],Location,PIN_AH5,Yes
,oHEX2_D[3],Location,PIN_AG4,Yes
,oHEX2_D[4],Location,PIN_AB18,Yes
,oHEX2_D[5],Location,PIN_AB19,Yes
,oHEX2_D[6],Location,PIN_AE19,Yes
,oHEX2_DP,Location,PIN_AC19,Yes
